skill,canonical_name,category,zindua_track,match_pattern,negative_context,is_diffusion_baseline,notes
Excel,excel,tooling,Data Analytics,(?<!can )(?<!to )(?<!will )(?<!you )(?<!and )(?<!they )\bexcel\b(?!\s+(at|in|as|here)\b),,1,Baseline: fully diffused; verb sense excluded by lookaround
React,react,frontend,Frontend Development,\breact(\.?js)?\b(?!\s*(to|ing|ive\s+to)),react to|reacting|reactive to,0,
Next.js,nextjs,frontend,Frontend Development,\bnext\.?js\b,,0,
Vue,vue,frontend,Frontend Development,\bvue(\.?js)?\b,,0,
Angular,angular,frontend,Frontend Development,\bangular(\.?js)?\b,,0,
Svelte,svelte,frontend,Frontend Development,\bsvelte(kit)?\b,,0,
Tailwind CSS,tailwind,frontend,Frontend Development,\btailwind(\s?css)?\b,,0,
Bootstrap,bootstrap,frontend,Frontend Development,\bbootstrap\b(?!\s*(a|the)\s),bootstrap a|bootstrapped startup|bootstrapping the,0,
jQuery,jquery,frontend,Frontend Development,\bjquery\b,,0,
Node.js,nodejs,backend,Software Engineering Core,\bnode(\.?js)?\b(?!\s*(of|in\s+the)),node in the|node of,0,
Express,express,backend,Software Engineering Core,"(\bexpress\.?js\b|\bexpress\b(?=\s*(framework|server|middleware|routes?|api))|(?<=node\.js, )express\b|(?<=nestjs, )express\b)",express delivery|express interest|express ideas|express written|express permission|express your|express themselves,0,Framework sense only; the verb 'express' is extremely common in job ads
Django,django,backend,Software Engineering Core,\bdjango\b,,0,
Flask,flask,backend,Software Engineering Core,\bflask\b,,0,
FastAPI,fastapi,backend,Software Engineering Core,\bfast\s?api\b,,0,
Spring Boot,springboot,backend,Software Engineering Core,\bspring\s?boot\b,,0,
Laravel,laravel,backend,Software Engineering Core,\blaravel\b,,0,
Rails,rails,backend,Software Engineering Core,\b(ruby\s+on\s+rails|rails)\b,guard rails|guardrails|handrail,0,
.NET,dotnet,backend,Software Engineering Core,\b(\.net|dotnet|asp\.net)\b,,0,
REST API,rest-api,backend,Software Engineering Core,\b(rest(ful)?\s*apis?|rest\s+services)\b,,0,
GraphQL,graphql,backend,Software Engineering Core,\bgraphql\b,,0,
gRPC,grpc,backend,Software Engineering Core,\bgrpc\b,,0,
PostgreSQL,postgresql,database,Data Engineering,\b(postgre?s(ql)?|psql)\b,,0,
MySQL,mysql,database,Software Engineering Core,\b(mysql|mariadb)\b,,0,
MongoDB,mongodb,database,Software Engineering Core,\b(mongo\s?db|mongodb)\b,,0,
Redis,redis,database,Software Engineering Core,\bredis\b,,0,
Elasticsearch,elasticsearch,database,Data Engineering,\b(elastic\s?search|elk\s+stack|opensearch)\b,,0,
SQL Server,sqlserver,database,Data Analytics,\b(sql\s+server|mssql|t-sql)\b,,0,
Oracle,oracle-db,database,Data Analytics,\boracle\b,,0,
Firebase,firebase,backend,Software Engineering Core,\bfirebase\b,,0,
Supabase,supabase,backend,Software Engineering Core,\bsupabase\b,,0,
AWS,aws,cloud,Data Engineering,\b(aws|amazon\s+web\s+services)\b,,0,
Azure,azure,cloud,DevOps Engineering,\b(azure|microsoft\s+cloud)\b,,0,
Google Cloud,gcp,cloud,Data Engineering,\b(gcp|google\s+cloud)\b,,0,
Docker,docker,devops,DevOps Engineering,\bdocker\b,,0,
Kubernetes,kubernetes,devops,DevOps Engineering,\b(kubernetes|k8s)\b,,0,
Terraform,terraform,devops,DevOps Engineering,\bterraform\b,,0,
Ansible,ansible,devops,DevOps Engineering,\bansible\b,,0,
Jenkins,jenkins,devops,DevOps Engineering,\bjenkins\b,,0,
CI/CD,cicd,devops,DevOps Engineering,\b(ci\s*/\s*cd|continuous\s+(integration|deployment|delivery))\b,,0,
GitHub Actions,github-actions,devops,DevOps Engineering,\bgithub\s+actions\b,,0,
GitHub,github,tooling,Software Engineering Core,\bgithub\b(?!\s+actions),github actions,0,
GitLab,gitlab,tooling,DevOps Engineering,\bgitlab\b,,0,
Prometheus,prometheus,devops,DevOps Engineering,\bprometheus\b,,0,
Grafana,grafana,devops,DevOps Engineering,\bgrafana\b,,0,
Nginx,nginx,devops,DevOps Engineering,\bnginx\b,,0,
Pandas,pandas,data-library,Data Science Core,\bpandas\b,giant panda,0,
NumPy,numpy,data-library,Data Science Core,\bnumpy\b,,0,
scikit-learn,sklearn,ml-library,Data Science Core,\b(scikit[\s-]?learn|sklearn)\b,,0,
TensorFlow,tensorflow,ml-library,Data Science Core,\btensor\s?flow\b,,0,
PyTorch,pytorch,ml-library,Data Science Core,\b(pytorch|torch)\b,,0,
Keras,keras,ml-library,Data Science Core,\bkeras\b,,0,
XGBoost,xgboost,ml-library,Data Science Core,\b(xgboost|lightgbm|catboost)\b,,0,
Matplotlib,matplotlib,visualization,Data Science Core,\bmatplotlib\b,,0,
Seaborn,seaborn,visualization,Data Science Core,\bseaborn\b,,0,
Plotly,plotly,visualization,Data Storytelling,\bplotly\b,,0,
Power BI,powerbi,bi-tool,Data Analytics,\bpower\s?bi\b,,0,
Tableau,tableau,bi-tool,Data Analytics,\btableau\b,,0,
Looker,looker,bi-tool,Data Analytics,\blooker(\s+studio)?\b,good looker,0,
Google Data Studio,datastudio,bi-tool,Data Analytics,\b(google\s+)?data\s+studio\b,,0,
Machine Learning,machine-learning,ml-concept,Data Science Core,\b(machine\s+learning|\bml\b)\b,,0,
Deep Learning,deep-learning,ml-concept,Data Science Core,\bdeep\s+learning\b,,0,
NLP,nlp,ml-concept,Data Science Core,\b(nlp|natural\s+language\s+processing)\b,,0,
Computer Vision,computer-vision,ml-concept,Data Science Core,\b(computer\s+vision|opencv)\b,,0,
Statistics,statistics,analysis,Data Analytics,\b(statistic(s|al)|regression\s+analysis|hypothesis\s+test)\b,,0,
A/B Testing,ab-testing,analysis,Data Analytics,\b(a/b\s+test(ing)?|split\s+test(ing)?|experimentation)\b,,0,
ETL,etl,data-engineering,Data Engineering,\b(etl|elt|data\s+pipeline)\b,,0,
Apache Spark,spark,data-engineering,Data Engineering,\b(apache\s+)?spark\b,spark\s+(interest|joy|engagement|innovation|change|conversations?|curiosity|creativity|ideas|debate|dialogue|a\s|the\s|modular|plug)|sparked|sparking|sparks\s,0,"Ambiguous: 'spark X' is common marketing copy, and Spark is a product name elsewhere"
Apache Airflow,airflow,data-engineering,Data Engineering,\b(apache\s+)?airflow\b,air flow rate|hvac,0,
Kafka,kafka,data-engineering,Data Engineering,\b(apache\s+)?kafka\b,,0,
dbt,dbt,data-engineering,Data Engineering,\bdbt\b,,0,
Snowflake,snowflake,data-engineering,Data Engineering,\bsnowflake\b,,0,
Databricks,databricks,data-engineering,Data Engineering,\bdatabricks\b,,0,
BigQuery,bigquery,data-engineering,Data Engineering,\bbig\s?query\b,,0,
Redshift,redshift,data-engineering,Data Engineering,\bredshift\b,,0,
Hadoop,hadoop,data-engineering,Data Engineering,\b(hadoop|hdfs|mapreduce)\b,,0,
Data Warehousing,data-warehouse,data-engineering,Data Engineering,\bdata\s+(warehous|lake|mart)\w*\b,,0,
LangChain,langchain,ai-framework,AI Engineering,\blang\s?chain\b,,0,
LangGraph,langgraph,ai-framework,AI Engineering,\blang\s?graph\b,,0,
LlamaIndex,llamaindex,ai-framework,AI Engineering,\bllama\s?index\b,,0,
RAG,rag,ai-concept,AI Engineering,\b(rag\b|retrieval[\s-]augmented)\b,rag doll|ragged,0,
Vector Database,vector-db,ai-concept,AI Engineering,\b(vector\s+(db|database|store)|pinecone|weaviate|qdrant|chroma\s?db|milvus)\b,,0,
Prompt Engineering,prompt-engineering,ai-concept,AI Engineering,\bprompt\s+(engineering|design|tuning)\b,,0,
LLM,llm,ai-concept,AI Engineering,\b(llm|large\s+language\s+model)s?\b,,0,
OpenAI API,openai,ai-platform,AI Engineering,\b(openai|gpt-?[345]|chatgpt)\b,,0,
Claude,claude,ai-platform,AI Engineering,\b(claude|anthropic)\b,,0,
Hugging Face,huggingface,ai-platform,AI Engineering,\bhugging\s?face\b,,0,
AI Agents,ai-agents,ai-concept,AI Engineering,\b(ai\s+agents?|agentic|multi[\s-]agent)\b,,0,
Fine-tuning,finetuning,ai-concept,AI Engineering,\bfine[\s-]?tun(e|ing)\b,,0,
MLOps,mlops,ai-concept,AI Engineering,\b(mlops|ml\s+ops|model\s+deployment)\b,,0,
n8n,n8n,automation,AI Workflow Automation,\bn8n\b,,0,
Zapier,zapier,automation,AI Workflow Automation,\bzapier\b,,0,
Make.com,make-com,automation,AI Workflow Automation,\b(make\.com|integromat)\b,,0,
Penetration Testing,pentest,security,Cybersecurity Core,\b(penetration\s+test\w*|pen\s?test\w*|ethical\s+hack\w*)\b,,0,
SIEM,siem,security,Cybersecurity Core,\b(siem|splunk|qradar|sentinel\s+one)\b,,0,
Network Security,network-security,security,Cybersecurity Core,\b(network\s+security|firewall|ids/ips|intrusion\s+detection)\b,,0,
ISO 27001,iso27001,security,Cybersecurity Core,\b(iso\s*/?\s*iec\s*27001|iso\s*27001)\b,,0,
Incident Response,incident-response,security,Cybersecurity Core,\b(incident\s+response|threat\s+hunting|soc\s+analyst)\b,,0,
Vulnerability Assessment,vuln-assessment,security,Cybersecurity Core,\b(vulnerability\s+(assessment|management|scanning))\b,,0,
Kali Linux,kali,security,Cybersecurity Core,\b(kali\s+linux|metasploit|burp\s+suite|nmap|wireshark)\b,,0,
Cryptography,cryptography,security,Cybersecurity Core,\b(cryptograph\w*|encryption|pki\b)\b,,0,
OWASP,owasp,security,Cybersecurity Core,\bowasp\b,,0,
Figma,figma,design,Frontend Development,\bfigma\b,,0,
Responsive Design,responsive-design,web,Frontend Development,\bresponsive\s+(design|web|layout)\b,,0,
Accessibility,accessibility,web,Frontend Development,\b(accessibility|wcag|a11y)\b,,0,
Agile,agile,practice,Product Management,\b(agile|scrum|kanban)\b,,0,
Jira,jira,tooling,Product Management,\b(jira|confluence)\b,,0,
Product Management,product-management,practice,Product Management,\b(product\s+(management|owner|roadmap)|prd\b)\b,,0,
Stakeholder Management,stakeholder,practice,Product Management,\bstakeholder\s+(management|engagement)\b,,0,
Data Storytelling,data-storytelling,practice,Data Storytelling,\b(data\s+storytelling|data\s+narrative|dashboard\s+design)\b,,0,
Data Visualization,data-viz,visualization,Data Storytelling,\bdata\s+visuali[sz]ation\b,,0,
Data Structures,data-structures,fundamentals,Data Structures & Algorithms,\b(data\s+structures|algorithms?\s+and\s+data)\b,,0,
Algorithms,algorithms,fundamentals,Data Structures & Algorithms,\balgorithms?\b,,0,
Testing,testing,practice,Software Engineering Core,\b(unit\s+test\w*|integration\s+test\w*|tdd\b|test[\s-]driven)\b,,0,
Selenium,selenium,testing,Software Engineering Core,\b(selenium|cypress|playwright|puppeteer)\b,,0,
Microservices,microservices,architecture,Software Engineering Core,\bmicro[\s-]?services?\b,,0,
System Design,system-design,architecture,Software Engineering Core,\b(system\s+design|distributed\s+systems|scalab\w+\s+architect)\b,,0,
API Integration,api-integration,backend,Software Engineering Core,\bapi\s+(integration|development|design)\b,,0,
Flutter,flutter,mobile,Software Engineering Core,\bflutter\b,,0,
React Native,react-native,mobile,Software Engineering Core,\breact\s+native\b,,0,
Android,android,mobile,Software Engineering Core,\bandroid\b,,0,
iOS,ios,mobile,Software Engineering Core,\bios\b(?!\s*/\s*android\s+user),,0,
WordPress,wordpress,cms,Frontend Development,\bwordpress\b,,0,
M-Pesa,mpesa,fintech-local,Software Engineering Core,\b(m-?pesa|daraja\s+api|lipa\s+na\s+m-?pesa)\b,,0,Kenya-specific: expect kenya_specific status
USSD,ussd,fintech-local,Software Engineering Core,\bussd\b,,0,Kenya-specific
Africa's Talking,africastalking,fintech-local,Software Engineering Core,\bafrica'?s\s+talking\b,,0,Kenya-specific
Payment Integration,payment-integration,fintech,Software Engineering Core,\b(payment\s+(gateway|integration|processing)|stripe\s+api|paystack|flutterwave)\b,,0,
